0,officer_first_name,gender_inference
"WRIGHT, Patrick Michael Mckee",Patrick Michael Mckee,'is male'
HAMMONDS DIRECTORS LIMITED,,
"WATERER, Robin Alistair",Robin Alistair,'is male'
WILTON DIRECTORS LIMITED,,
"WILLIAMS, Alun",Alun,'is male'
"WOOLGROVE, Ivan Neal",Ivan Neal,'is male'
"WYATT, Ann Elizabeth",Ann Elizabeth,'is female'
"WINTER, Jamie Andrew",Jamie Andrew,'is male'
"WALLIS, Michael",Michael,'is male'
"MCCREADIE, William",William,'is male'
WILDMAN & BATTELL LIMITED,,
"PHILIP-SORENSEN, Nils Jorgen",Nils Jorgen,'is male'
"ZOLTIE, Gary Morrison",Gary Morrison,'is male'
"HUNT, David Stephen",David Stephen,'is male'
"LAYISH, Joshua",Joshua,'is male'
YORK PLACE COMPANY NOMINEES LIMITED,,
"WHITE, Michael, Father",Michael,'is male'
"TALLON, James John",James John,'is male'
"WARNER, William",William,'is male'
LONDON LAW SECRETARIAL LIMITED,,
FCC MEDIO AMBIENTE SA,,
"YOUNG, Myron Dale",Myron Dale,'is male'
YORK PLACE COMPANY SECRETARIES LIMITED,,
"WRIGHT, Jonathan",Jonathan,'is male'
"SCHUTT-FAHRENKROG, Antie",Antie,'name not found'
"ZAMOYSKI, James",James,'is male'
"ZAMOYSKI, James",James,'is male'
CORPORATE APPOINTMENTS LIMITED,,
"THURSTON, Robin David",Robin David,'is male'
"VAN ARENDONK, Gerard Marie",Gerard Marie,'is male'
PEMEX SERVICES LIMITED,,
"SMITH, Alan",Alan,'is male'
"WATTS, Mike",Mike,'is mostly male'
"TAYLOR, Neil David",Neil David,'is male'
"POWELL, Shauna Margaret",Shauna Margaret,'is female'
"REDPATH, Walter Keith",Walter Keith,'is male'
INSTANT COMPANIES LIMITED,,
INSTANT COMPANIES LIMITED,,
"VALDIVIA MARTIN, Federico",Federico,'is male'
"YOQUB, Nazia",Nazia,'name not found'
"NAGLE, John Joseph",John Joseph,'is male'
"WILLIAMS, Ynyr",Ynyr,'name not found'
"LAWRENSON, Damon",Damon,'is male'
"MALPASS, Andrew",Andrew,'is male'
